"filename", "language", "TypeScript", "Markdown", "Ignore", "JavaScript", "JSON", "JSON with Comments", "YAML", "PostCSS", "HTML", "vue", "comment", "blank", "total"
"k:\AiChat\novel2ST\NovelToST\src\novelToST\index.ts", "TypeScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 14, 121
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\export.store.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 38
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\foundation.store.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\foundation\foundation.normalize.ts", "TypeScript", 332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 400
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\foundation\foundation.schemas.ts", "TypeScript", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 174
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\foundation\foundation.store.ts", "TypeScript", 404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 458
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\generation.store.ts", "TypeScript", 211, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 31, 242
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\outline.store.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\outline\core\outline.clone.ts", "TypeScript", 169, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 188
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\outline\core\outline.constants.ts", "TypeScript", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\outline\core\outline.domain.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\outline\core\outline.ids.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\outline\core\outline.normalize.ts", "TypeScript", 411, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 67, 479
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\outline\core\outline.schemas.ts", "TypeScript", 181, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 201
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\outline\core\outline.state.ts", "TypeScript", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 111
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\outline\core\outline.time.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 20
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\outline\core\outline.types.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 55
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\outline\facade\outline.store-facade.ts", "TypeScript", 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 181
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\outline\selectors\outline.selectors.ts", "TypeScript", 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 70
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\outline\slices\chapter-detail.slice.ts", "TypeScript", 85, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 98
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\outline\slices\config.slice.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 54
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\outline\slices\context.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 24
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\outline\slices\master-outline.slice.ts", "TypeScript", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 98
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\outline\slices\session.slice.ts", "TypeScript", 295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 352
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\outline\slices\storyline.slice.ts", "TypeScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 87
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\settings.store.ts", "TypeScript", 216, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 244
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\ui.store.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 71
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\workbench.store.ts", "TypeScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 109
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\worldbook.store.ts", "TypeScript", 334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 377
"k:\AiChat\novel2ST\NovelToST\src\novelToST\stores\worldbuilding.store.ts", "TypeScript", 857, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 1037
"k:\AiChat\novel2ST\NovelToST\src\novelToST\types.ts", "TypeScript", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 137
"k:\AiChat\novel2ST\NovelToST\src\novelToST\types\foundation.ts", "TypeScript", 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 168
